"variable_names","variable_desc","religion_name"
"FGCRATE","Friends General Conference--Rates of adherence per 1,000 population","Friends General Conference"
"FUMCNG","Friends United Meeting--Total number of congregations","Friends United Meeting"
"FUMADH","Friends United Meeting--Total number of adherents","Friends United Meeting"
"FUMRATE","Friends United Meeting--Rates of adherence per 1,000 population","Friends United Meeting"
"FGBCNG","Full Gospel Baptist Church Fellowship--Total number of congregations","Full Gospel Baptist Church Fellowship"
"FBFCNG","Fundamental Baptist Fellowship--Total number of congregations","Fundamental Baptist Fellowship"
"GARBCNG","General Association of Regular Baptist Churches--Total number of congregations","General Association of Regular Baptist Churches"
"GOPCNG","Georgian Orthodox Parishes in the United States--Total number of congregations","Georgian Orthodox Parishes in the United States"
"GOPADH","Georgian Orthodox Parishes in the United States--Total number of adherents","Georgian Orthodox Parishes in the United States"
"GOPRATE","Georgian Orthodox Parishes in the United States--Rates of adherence per 1,000 population","Georgian Orthodox Parishes in the United States"
"FGBCCNG","Grace Brethren Churches, Fellowship of--Total number of congregations","Grace Brethren Churches, Fellowship of"
"GGFCNG","Grace Gospel Fellowship--Total number of congregations","Grace Gospel Fellowship"
"GRKCNG","Greek Orthodox Archdiocese of America--Total number of congregations","Greek Orthodox Archdiocese of America"
"GRKADH","Greek Orthodox Archdiocese of America--Total number of adherents","Greek Orthodox Archdiocese of America"
"GRKRATE","Greek Orthodox Archdiocese of America--Rates of adherence per 1,000 population","Greek Orthodox Archdiocese of America"
"HRCCNG","Heritage Reformed Churches--Total number of congregations","Heritage Reformed Churches"
"HRCADH","Heritage Reformed Churches--Total number of adherents","Heritage Reformed Churches"
"HRCRATE","Heritage Reformed Churches--Rates of adherence per 1,000 population","Heritage Reformed Churches"
"HNICNG","Hindu, Indian-American Hindu Temple Association--Total number of congregations","Hindu, Indian-American Hindu Temple Association"
"HNIADH","Hindu, Indian-American Hindu Temple Association--Total number of adherents","Hindu, Indian-American Hindu Temple Association"
"HNIRATE","Hindu, Indian-American Hindu Temple Association--Rates of adherence per 1,000 population","Hindu, Indian-American Hindu Temple Association"
"HNPRCNG","Hindu, Post Renaissance--Total number of congregations","Hindu, Post Renaissance"
"HNPRADH","Hindu, Post Renaissance--Total number of adherents","Hindu, Post Renaissance"
"HNPRRATE","Hindu, Post Renaissance--Rates of adherence per 1,000 population","Hindu, Post Renaissance"
"HNRCNG","Hindu, Renaissance--Total number of congregations","Hindu, Renaissance"
"HNRADH","Hindu, Renaissance--Total number of adherents","Hindu, Renaissance"
"HNRRATE","Hindu, Renaissance--Rates of adherence per 1,000 population","Hindu, Renaissance"
"HNTTCNG","Hindu, Traditional Temples--Total number of congregations","Hindu, Traditional Temples"
"HNTTADH","Hindu, Traditional Temples--Total number of adherents","Hindu, Traditional Temples"
"HNTTRATE","Hindu, Traditional Temples--Rates of adherence per 1,000 population","Hindu, Traditional Temples"
"HOCCNG","Holy Orthodox Church in North America--Total number of congregations","Holy Orthodox Church in North America"
"HOCADH","Holy Orthodox Church in North America--Total number of adherents","Holy Orthodox Church in North America"
"HOCRATE","Holy Orthodox Church in North America--Rates of adherence per 1,000 population","Holy Orthodox Church in North America"
"HUNGCNG","Hungarian Reformed Churches (Additional)--Total number of congregations","Hungarian Reformed Churches (Additional)"
"HUTTCNG","Hutterian Brethren--Total number of congregations","Hutterian Brethren"
"IBFICNG","Independent Baptist Fellowship International--Total number of congregations","Independent Baptist Fellowship International"
"IFCACNG","Independent Fundamental Churches of America--Total number of congregations","Independent Fundamental Churches of America"
"IYMFCNG","Independent Yearly Meetings of Friends--Total number of congregations","Independent Yearly Meetings of Friends"
"IYMFADH","Independent Yearly Meetings of Friends--Total number of adherents","Independent Yearly Meetings of Friends"
"IYMFRATE","Independent Yearly Meetings of Friends--Rates of adherence per 1,000 population","Independent Yearly Meetings of Friends"
"ICCCNG","International Churches of Christ--Total number of congregations","International Churches of Christ"
"ICCADH","International Churches of Christ--Total number of adherents","International Churches of Christ"
"ICCRATE","International Churches of Christ--Rates of adherence per 1,000 population","International Churches of Christ"
"ICCCCNG","International Council of Community Churches--Total number of congregations","International Council of Community Churches"
"IFBCCNG","International Fellowship of Bible Churches--Total number of congregations","International Fellowship of Bible Churches"
"INTFCNG","International Fellowship of Christian Assemblies--Total number of congregations","International Fellowship of Christian Assemblies"
"IPCCCNG","International Pentecostal Church of Christ--Total number of congregations","International Pentecostal Church of Christ"
"IPCCADH","International Pentecostal Church of Christ--Total number of adherents","International Pentecostal Church of Christ"
"IPCCRATE","International Pentecostal Church of Christ--Rates of adherence per 1,000 population","International Pentecostal Church of Christ"
"IPHCCNG","International Pentecostal Holiness Church--Total number of congregations","International Pentecostal Holiness Church"
"IPHCADH","International Pentecostal Holiness Church--Total number of adherents","International Pentecostal Holiness Church"
"IPHCRATE","International Pentecostal Holiness Church--Rates of adherence per 1,000 population","International Pentecostal Holiness Church"
"JAINCNG","Jain--Total number of congregations","Jain"
"JWCNG","Jehovah's Witnesses--Total number of congregations","Jehovah's Witnesses"
"KPRSCNG","Korean Presbyterian Church Abroad--Total number of congregations","Korean Presbyterian Church Abroad"
"KPCACNG","Korean Presbyterian Church in America--Total number of congregations","Korean Presbyterian Church in America"
"KAPCCNG","Korean-American Presbyterian Church--Total number of congregations","Korean-American Presbyterian Church"
"LCMSCNG","Lutheran Church--Missouri Synod--Total number of congregations","Lutheran Church"
"LCMSADH","Lutheran Church--Missouri Synod--Total number of adherents","Lutheran Church"
"LCMSRATE","Lutheran Church--Missouri Synod--Rates of adherence per 1,000 population","Lutheran Church"
"LCMCCNG","Lutheran Congregations in Mission for Christ--Total number of congregations","Lutheran Congregations in Mission for Christ"
"LCMCADH","Lutheran Congregations in Mission for Christ--Total number of adherents","Lutheran Congregations in Mission for Christ"
"LCMCRATE","Lutheran Congregations in Mission for Christ--Rates of adherence per 1,000 population","Lutheran Congregations in Mission for Christ"
"MOCCNG","Macedonian Orthodox Church: American Diocese--Total number of congregations","Macedonian Orthodox Church: American Diocese"
"MOCADH","Macedonian Orthodox Church: American Diocese--Total number of adherents","Macedonian Orthodox Church: American Diocese"
"MOCRATE","Macedonian Orthodox Church: American Diocese--Rates of adherence per 1,000 population","Macedonian Orthodox Church: American Diocese"
"MALACNG","Malankara Archdiocese of the Syrian Orthodox Church in North America--Total number of congregations","Malankara Archdiocese of the Syrian Orthodox Church in North America"
"MALAADH","Malankara Archdiocese of the Syrian Orthodox Church in North America--Total number of adherents","Malankara Archdiocese of the Syrian Orthodox Church in North America"
"MALARATE","Malankara Archdiocese of the Syrian Orthodox Church in North America--Rates of adherence per 1,000 population","Malankara Archdiocese of the Syrian Orthodox Church in North America"
"MOSCCNG","Malankara Orthodox Syrian Church--Total number of congregations","Malankara Orthodox Syrian Church"
"MOSCADH","Malankara Orthodox Syrian Church--Total number of adherents","Malankara Orthodox Syrian Church"
"MOSCRATE","Malankara Orthodox Syrian Church--Rates of adherence per 1,000 population","Malankara Orthodox Syrian Church"
"MAMCNG","Maranatha Amish Mennonite--Total number of congregations","Maranatha Amish Mennonite"
"MAMADH","Maranatha Amish Mennonite--Total number of adherents","Maranatha Amish Mennonite"
"MAMRATE","Maranatha Amish Mennonite--Rates of adherence per 1,000 population","Maranatha Amish Mennonite"
"MCFCNG","Mennonite Christian Fellowship--Total number of congregations","Mennonite Christian Fellowship"
"MCFADH","Mennonite Christian Fellowship--Total number of adherents","Mennonite Christian Fellowship"
"MCFRATE","Mennonite Christian Fellowship--Rates of adherence per 1,000 population","Mennonite Christian Fellowship"
"MENNCNG","Mennonite Church USA--Total number of congregations","Mennonite Church USA"
"MENNADH","Mennonite Church USA--Total number of adherents","Mennonite Church USA"
"MENNRATE","Mennonite Church USA--Rates of adherence per 1,000 population","Mennonite Church USA"
"MCCCNG","Metropolitan Community Churches, Universal Fellowship of--Total number of congregations","Metropolitan Community Churches, Universal Fellowship of"
"MCCADH","Metropolitan Community Churches, Universal Fellowship of--Total number of adherents","Metropolitan Community Churches, Universal Fellowship of"
"MCCRATE","Metropolitan Community Churches, Universal Fellowship of--Rates of adherence per 1,000 population","Metropolitan Community Churches, Universal Fellowship of"
"MBAMCNG","Midwest Beachy Amish Mennonite--Total number of congregations","Midwest Beachy Amish Mennonite"
"MBAMADH","Midwest Beachy Amish Mennonite--Total number of adherents","Midwest Beachy Amish Mennonite"
"MBAMRATE","Midwest Beachy Amish Mennonite--Rates of adherence per 1,000 population","Midwest Beachy Amish Mennonite"
"MCCFCNG","Midwest Congregational Christian Fellowship--Total number of congregations","Midwest Congregational Christian Fellowship"
"MCCFADH","Midwest Congregational Christian Fellowship--Total number of adherents","Midwest Congregational Christian Fellowship"
"MCCFRATE","Midwest Congregational Christian Fellowship--Rates of adherence per 1,000 population","Midwest Congregational Christian Fellowship"
"MISSCNG","Missionary Church, The--Total number of congregations","Missionary Church, The"
"MISSADH","Missionary Church, The--Total number of adherents","Missionary Church, The"
"MISSRATE","Missionary Church, The--Rates of adherence per 1,000 population","Missionary Church, The"
"MVAKCNG","Moravian Church in America-Alaska Province--Total number of congregations","Moravian Church in America-Alaska Province"
"MVAKADH","Moravian Church in America-Alaska Province--Total number of adherents","Moravian Church in America-Alaska Province"
"MVAKRATE","Moravian Church in America-Alaska Province--Rates of adherence per 1,000 population","Moravian Church in America-Alaska Province"
"MVNOCNG","Moravian Church in America-Northern Province--Total number of congregations","Moravian Church in America-Northern Province"
"MVNOADH","Moravian Church in America-Northern Province--Total number of adherents","Moravian Church in America-Northern Province"
"MVNORATE","Moravian Church in America-Northern Province--Rates of adherence per 1,000 population","Moravian Church in America-Northern Province"
"MVSOCNG","Moravian Church in America-Southern Province--Total number of congregations","Moravian Church in America-Southern Province"
"MVSOADH","Moravian Church in America-Southern Province--Total number of adherents","Moravian Church in America-Southern Province"
"MVSORATE","Moravian Church in America-Southern Province--Rates of adherence per 1,000 population","Moravian Church in America-Southern Province"
"MSLMCNG","Muslim estimate--Total number of congregations","Muslim estimate"
"MSLMADH","Muslim estimate--Total number of adherents","Muslim estimate"
"MSLMRATE","Muslim estimate--Rates of adherence per 1,000 population","Muslim estimate"
"NACCCNG","National Association of Congregational Christian Churches--Total number of congregations","National Association of Congregational Christian Churches"
"NACCADH","National Association of Congregational Christian Churches--Total number of adherents","National Association of Congregational Christian Churches"
"NACCRATE","National Association of Congregational Christian Churches--Rates of adherence per 1,000 population","National Association of Congregational Christian Churches"
"FWBCNG","National Association of Free Will Baptists--Total number of congregations","National Association of Free Will Baptists"
"FWBADH","National Association of Free Will Baptists--Total number of adherents","National Association of Free Will Baptists"
"FWBRATE","National Association of Free Will Baptists--Rates of adherence per 1,000 population","National Association of Free Will Baptists"
"NBCACNG","National Baptist Convention of America, Inc.--Total number of congregations","National Baptist Convention of America, Inc."
"NBCAADH","National Baptist Convention of America, Inc.--Total number of adherents","National Baptist Convention of America, Inc."
"NBCARATE","National Baptist Convention of America, Inc.--Rates of adherence per 1,000 population","National Baptist Convention of America, Inc."
"NBCCNG","National Baptist Convention, USA, Inc.--Total number of congregations","National Baptist Convention, USA, Inc."
"NBCADH","National Baptist Convention, USA, Inc.--Total number of adherents","National Baptist Convention, USA, Inc."
"NBCRATE","National Baptist Convention, USA, Inc.--Rates of adherence per 1,000 population","National Baptist Convention, USA, Inc."
"NMBCCNG","National Missionary Baptist Convention, Inc.--Total number of congregations","National Missionary Baptist Convention, Inc."
"NMBCADH","National Missionary Baptist Convention, Inc.--Total number of adherents","National Missionary Baptist Convention, Inc."
"NMBCRATE","National Missionary Baptist Convention, Inc.--Rates of adherence per 1,000 population","National Missionary Baptist Convention, Inc."
"NSACCNG","National Spiritualist Association of Churches--Total number of congregations","National Spiritualist Association of Churches"
"NWAPCNG","New Apostolic Church of North America, National Organization of the--Total number of congregations","New Apostolic Church of North America, National Organization of the"
"IBCCNG","New Testament Association of Independent Baptist Churches--Total number of congregations","New Testament Association of Independent Baptist Churches"
"NONDCNG","Non-denominational--Total number of congregations","Non-denominational"
"NONDADH","Non-denominational--Total number of adherents","Non-denominational"
"NONDRATE","Non-denominational--Rates of adherence per 1,000 population","Non-denominational"
"NABCCNG","North American Baptist Conference--Total number of congregations","North American Baptist Conference"
"NABCADH","North American Baptist Conference--Total number of adherents","North American Baptist Conference"
"NABCRATE","North American Baptist Conference--Rates of adherence per 1,000 population","North American Baptist Conference"
"NALCCNG","North American Lutheran Church--Total number of congregations","North American Lutheran Church"
"OORBCNG","Old Order River Brethren--Total number of congregations","Old Order River Brethren"
"OORBADH","Old Order River Brethren--Total number of adherents","Old Order River Brethren"
"OORBRATE","Old Order River Brethren--Rates of adherence per 1,000 population","Old Order River Brethren"
"OBSCCNG","Open Bible Standard Churches, Inc.--Total number of congregations","Open Bible Standard Churches, Inc."
"OBSCADH","Open Bible Standard Churches, Inc.--Total number of adherents","Open Bible Standard Churches, Inc."
"OBSCRATE","Open Bible Standard Churches, Inc.--Rates of adherence per 1,000 population","Open Bible Standard Churches, Inc."
"OCACNG","Orthodox Church in America--Total number of congregations","Orthodox Church in America"
"OCAADH","Orthodox Church in America--Total number of adherents","Orthodox Church in America"
"OCARATE","Orthodox Church in America--Rates of adherence per 1,000 population","Orthodox Church in America"
"OJUDCNG","Orthodox Judaism--Total number of congregations","Orthodox Judaism"
"OJUDADH","Orthodox Judaism--Total number of adherents","Orthodox Judaism"
"OJUDRATE","Orthodox Judaism--Rates of adherence per 1,000 population","Orthodox Judaism"
"OPCCNG","Orthodox Presbyterian Church--Total number of congregations","Orthodox Presbyterian Church"
"OPCADH","Orthodox Presbyterian Church--Total number of adherents","Orthodox Presbyterian Church"
"OPCRATE","Orthodox Presbyterian Church--Rates of adherence per 1,000 population","Orthodox Presbyterian Church"
"ROCCNG","Patriarchal Parishes of the Russian Orthodox Church in the USA--Total number of congregations","Patriarchal Parishes of the Russian Orthodox Church in the USA"
"ROCADH","Patriarchal Parishes of the Russian Orthodox Church in the USA--Total number of adherents","Patriarchal Parishes of the Russian Orthodox Church in the USA"
"ROCRATE","Patriarchal Parishes of the Russian Orthodox Church in the USA--Rates of adherence per 1,000 population","Patriarchal Parishes of the Russian Orthodox Church in the USA"
"PCCCNG","Pentecostal Church of God--Total number of congregations","Pentecostal Church of God"
"PCCADH","Pentecostal Church of God--Total number of adherents","Pentecostal Church of God"
"PCCRATE","Pentecostal Church of God--Rates of adherence per 1,000 population","Pentecostal Church of God"
"FBHCCNG","Pentecostal Fire Baptized Holiness Church--Total number of congregations","Pentecostal Fire Baptized Holiness Church"
"PFWBCNG","Pentecostal Free Will Baptist Church, Inc.--Total number of congregations","Pentecostal Free Will Baptist Church, Inc."
"PILLCNG","Pillar of Fire--Total number of congregations","Pillar of Fire"
"PILLADH","Pillar of Fire--Total number of adherents","Pillar of Fire"
"PILLRATE","Pillar of Fire--Rates of adherence per 1,000 population","Pillar of Fire"
"PNCCCNG","Polish National Catholic Church--Total number of congregations","Polish National Catholic Church"
"PCCNG","Presbyterian Church (U.S.A.)--Total number of congregations","Presbyterian Church (U.S.A.)"
"PCADH","Presbyterian Church (U.S.A.)--Total number of adherents","Presbyterian Church (U.S.A.)"
"PCRATE","Presbyterian Church (U.S.A.)--Rates of adherence per 1,000 population","Presbyterian Church (U.S.A.)"
"PCACNG","Presbyterian Church in America--Total number of congregations","Presbyterian Church in America"
"PCAADH","Presbyterian Church in America--Total number of adherents","Presbyterian Church in America"
"PCARATE","Presbyterian Church in America--Rates of adherence per 1,000 population","Presbyterian Church in America"
"PRCCNG","Presbyterian Reformed Church--Total number of congregations","Presbyterian Reformed Church"
"PBEDCNG","Primitive Baptists, Eastern District Association of--Total number of congregations","Primitive Baptists, Eastern District Association of"
"PBEDADH","Primitive Baptists, Eastern District Association of--Total number of adherents","Primitive Baptists, Eastern District Association of"
"PBEDRATE","Primitive Baptists, Eastern District Association of--Rates of adherence per 1,000 population","Primitive Baptists, Eastern District Association of"
"PMCCNG","Primitive Methodist Church in the U.S.A.--Total number of congregations","Primitive Methodist Church in the U.S.A."
"PNBCCNG","Progressive National Baptist Convention, Inc.--Total number of congregations","Progressive National Baptist Convention, Inc."
"PNBCADH","Progressive National Baptist Convention, Inc.--Total number of adherents","Progressive National Baptist Convention, Inc."
"PNBCRATE","Progressive National Baptist Convention, Inc.--Rates of adherence per 1,000 population","Progressive National Baptist Convention, Inc."
"PRCACNG","Protestant Reformed Churches in America--Total number of congregations","Protestant Reformed Churches in America"
"PRCAADH","Protestant Reformed Churches in America--Total number of adherents","Protestant Reformed Churches in America"
"PRCARATE","Protestant Reformed Churches in America--Rates of adherence per 1,000 population","Protestant Reformed Churches in America"
"RJUDCNG","Reconstructionist Judaism--Total number of congregations","Reconstructionist Judaism"
"RJUDADH","Reconstructionist Judaism--Total number of adherents","Reconstructionist Judaism"
"RJUDRATE","Reconstructionist Judaism--Rates of adherence per 1,000 population","Reconstructionist Judaism"
"RFRMCNG","Reform Judaism--Total number of congregations","Reform Judaism"
"RFRMADH","Reform Judaism--Total number of adherents","Reform Judaism"
"RFRMRATE","Reform Judaism--Rates of adherence per 1,000 population","Reform Judaism"
"RBCCNG","Reformed Baptist Churches--Total number of congregations","Reformed Baptist Churches"
"RCACNG","Reformed Church in America--Total number of congregations","Reformed Church in America"
"RCAADH","Reformed Church in America--Total number of adherents","Reformed Church in America"
"RCARATE","Reformed Church in America--Rates of adherence per 1,000 population","Reformed Church in America"
"RCUSCNG","Reformed Church in the United States--Total number of congregations","Reformed Church in the United States"
"RCUSADH","Reformed Church in the United States--Total number of adherents","Reformed Church in the United States"
"RCUSRATE","Reformed Church in the United States--Rates of adherence per 1,000 population","Reformed Church in the United States"
"RMCCNG","Reformed Mennonite Church--Total number of congregations","Reformed Mennonite Church"
"RMCADH","Reformed Mennonite Church--Total number of adherents","Reformed Mennonite Church"
"RMCRATE","Reformed Mennonite Church--Rates of adherence per 1,000 population","Reformed Mennonite Church"
"RPCCNGV","Reformed Presbyterian Church General Assembly--Total number of congregations","Reformed Presbyterian Church General Assembly"
"RPHPCNG","Reformed Presbyterian Church Hanover Presbytery--Total number of congregations","Reformed Presbyterian Church Hanover Presbytery"
"RPUSCNG","Reformed Presbyterian Church in the United States--Total number of congregations","Reformed Presbyterian Church in the United States"
"RPNACNG","Reformed Presbyterian Church of North America--Total number of congregations","Reformed Presbyterian Church of North America"
"RPNAADH","Reformed Presbyterian Church of North America--Total number of adherents","Reformed Presbyterian Church of North America"
"RPNARATE","Reformed Presbyterian Church of North America--Rates of adherence per 1,000 population","Reformed Presbyterian Church of North America"
"ROAACNG","Romanian Orthodox Archdiocese in the Americas--Total number of congregations","Romanian Orthodox Archdiocese in the Americas"
"ROAAADH","Romanian Orthodox Archdiocese in the Americas--Total number of adherents","Romanian Orthodox Archdiocese in the Americas"
"ROAARATE","Romanian Orthodox Archdiocese in the Americas--Rates of adherence per 1,000 population","Romanian Orthodox Archdiocese in the Americas"
"ROORCNG","Russian Orthodox Church Outside of Russia--Total number of congregations","Russian Orthodox Church Outside of Russia"
"ROORADH","Russian Orthodox Church Outside of Russia--Total number of adherents","Russian Orthodox Church Outside of Russia"
"ROORRATE","Russian Orthodox Church Outside of Russia--Rates of adherence per 1,000 population","Russian Orthodox Church Outside of Russia"
"SALVCNG","Salvation Army--Total number of congregations","Salvation Army"
"SALVADH","Salvation Army--Total number of adherents","Salvation Army"
"SALVRATE","Salvation Army--Rates of adherence per 1,000 population","Salvation Army"
"SCHWCNG","Schwenkfelder Church--Total number of congregations","Schwenkfelder Church"
"SCHWADH","Schwenkfelder Church--Total number of adherents","Schwenkfelder Church"
"SCHWRATE","Schwenkfelder Church--Rates of adherence per 1,000 population","Schwenkfelder Church"
"SERBCNG","Serbian Orthodox Church in North America--Total number of congregations","Serbian Orthodox Church in North America"
"SERBADH","Serbian Orthodox Church in North America--Total number of adherents","Serbian Orthodox Church in North America"
"SERBRATE","Serbian Orthodox Church in North America--Rates of adherence per 1,000 population","Serbian Orthodox Church in North America"
"SDBCNG","Seventh Day Baptist General Conference, USA and Canada--Total number of congregations","Seventh Day Baptist General Conference, USA and Canada"
"SDBADH","Seventh Day Baptist General Conference, USA and Canada--Total number of adherents","Seventh Day Baptist General Conference, USA and Canada"
"SDBRATE","Seventh Day Baptist General Conference, USA and Canada--Rates of adherence per 1,000 population","Seventh Day Baptist General Conference, USA and Canada"
"SDACCNG","Seventh-day Adventist Church--Total number of congregations","Seventh-day Adventist Church"
"SDACADH","Seventh-day Adventist Church--Total number of adherents","Seventh-day Adventist Church"
"SDACRATE","Seventh-day Adventist Church--Rates of adherence per 1,000 population","Seventh-day Adventist Church"
"SHNTCNG","Shinto--Total number of congregations","Shinto"
"SIKHCNG","Sikh--Total number of congregations","Sikh"
"SBCCNG","Southern Baptist Convention--Total number of congregations","Southern Baptist Convention"
"SBCADH","Southern Baptist Convention--Total number of adherents","Southern Baptist Convention"
"SBCRATE","Southern Baptist Convention--Rates of adherence per 1,000 population","Southern Baptist Convention"
"SMCCNG","Southern Methodist Church--Total number of congregations","Southern Methodist Church"
"SWEDCNG","Swedenborgian Church--Total number of congregations","Swedenborgian Church"
"SOCACNG","Syriac Orthodox Church of Antioch--Total number of congregations","Syriac Orthodox Church of Antioch"
"SOCAADH","Syriac Orthodox Church of Antioch--Total number of adherents","Syriac Orthodox Church of Antioch"
"SOCARATE","Syriac Orthodox Church of Antioch--Rates of adherence per 1,000 population","Syriac Orthodox Church of Antioch"
"TAMCNG","Tampico Amish Mennonite--Total number of congregations","Tampico Amish Mennonite"
"TAMADH","Tampico Amish Mennonite--Total number of adherents","Tampico Amish Mennonite"
"TAMRATE","Tampico Amish Mennonite--Rates of adherence per 1,000 population","Tampico Amish Mennonite"
"TAOCNG","Tao--Total number of congregations","Tao"
"USMBCNG","U.S. Mennonite Brethren--Total number of congregations","U.S. Mennonite Brethren"
"USMBADH","U.S. Mennonite Brethren--Total number of adherents","U.S. Mennonite Brethren"
"USMBRATE","U.S. Mennonite Brethren--Rates of adherence per 1,000 population","U.S. Mennonite Brethren"
"UOCCNG","Ukrainian Orthodox Church of the USA--Total number of congregations","Ukrainian Orthodox Church of the USA"
"UOCADH","Ukrainian Orthodox Church of the USA--Total number of adherents","Ukrainian Orthodox Church of the USA"
"UOCRATE","Ukrainian Orthodox Church of the USA--Rates of adherence per 1,000 population","Ukrainian Orthodox Church of the USA"
"UCAMCNG","Unaffiliated Conservative Amish Mennonite Church--Total number of congregations","Unaffiliated Conservative Amish Mennonite Church"
"UCAMADH","Unaffiliated Conservative Amish Mennonite Church--Total number of adherents","Unaffiliated Conservative Amish Mennonite Church"
"UCAMRATE","Unaffiliated Conservative Amish Mennonite Church--Rates of adherence per 1,000 population","Unaffiliated Conservative Amish Mennonite Church"
"UFMCNG","Unaffiliated Friends Meetings--Total number of congregations","Unaffiliated Friends Meetings"
"UMJCCNG","Union of Messianic Jewish Congregations--Total number of congregations","Union of Messianic Jewish Congregations"
"UUACNG","Unitarian Universalist Association of Congregations--Total number of congregations","Unitarian Universalist Association of Congregations"
"UUAADH","Unitarian Universalist Association of Congregations--Total number of adherents","Unitarian Universalist Association of Congregations"
"UUARATE","Unitarian Universalist Association of Congregations--Rates of adherence per 1,000 population","Unitarian Universalist Association of Congregations"
"UCTHCNG","United Catholic Church, Inc.--Total number of congregations","United Catholic Church, Inc."
"UCTHADH","United Catholic Church, Inc.--Total number of adherents","United Catholic Church, Inc."
"UCTHRATE","United Catholic Church, Inc.--Rates of adherence per 1,000 population","United Catholic Church, Inc."
"UCCCNG","United Church of Christ--Total number of congregations","United Church of Christ"
"UCCADH","United Church of Christ--Total number of adherents","United Church of Christ"
"UCCRATE","United Church of Christ--Rates of adherence per 1,000 population","United Church of Christ"
"UHCACNG","United Holy Church of America, Inc.--Total number of congregations","United Holy Church of America, Inc."
"UMCCNG","United Methodist Church, The--Total number of congregations","United Methodist Church, The"
"UMCADH","United Methodist Church, The--Total number of adherents","United Methodist Church, The"
"UMCRATE","United Methodist Church, The--Rates of adherence per 1,000 population","United Methodist Church, The"
"UPCICNG","United Pentecostal Church International--Total number of congregations","United Pentecostal Church International"
"UPCCNG","United Pentecostal Council of the Assemblies of God--Total number of congregations","United Pentecostal Council of the Assemblies of God"
"URCCNG","United Reformed Churches in North America--Total number of congregations","United Reformed Churches in North America"
"UZCCNG","United Zion Church--Total number of congregations","United Zion Church"
"UZCADH","United Zion Church--Total number of adherents","United Zion Church"
"UZCRATE","United Zion Church--Rates of adherence per 1,000 population","United Zion Church"
"UNTYCNG","Unity Churches, Association of--Total number of congregations","Unity Churches, Association of"
"UNBRCNG","Unity of the Brethren--Total number of congregations","Unity of the Brethren"
"PJOCCNG","Vicariate for the Palestinian/Jordanian Orthodox Christian Communities--Total number of congregations","Vicariate for the Palestinian/Jordanian Orthodox Christian Communities"
"PJOCADH","Vicariate for the Palestinian/Jordanian Orthodox Christian Communities--Total number of adherents","Vicariate for the Palestinian/Jordanian Orthodox Christian Communities"
"PJOCRATE","Vicariate for the Palestinian/Jordanian Orthodox Christian Communities--Rates of adherence per 1,000 population","Vicariate for the Palestinian/Jordanian Orthodox Christian Communities"
"VINECNG","Vineyard USA--Total number of congregations","Vineyard USA"
"VINEADH","Vineyard USA--Total number of adherents","Vineyard USA"
"VINERATE","Vineyard USA--Rates of adherence per 1,000 population","Vineyard USA"
"WESCNG","Wesleyan Church, The--Total number of congregations","Wesleyan Church, The"
"WESADH","Wesleyan Church, The--Total number of adherents","Wesleyan Church, The"
"WESRATE","Wesleyan Church, The--Rates of adherence per 1,000 population","Wesleyan Church, The"
"WELSCNG","Wisconsin Evangelical Lutheran Synod--Total number of congregations","Wisconsin Evangelical Lutheran Synod"
"WELSADH","Wisconsin Evangelical Lutheran Synod--Total number of adherents","Wisconsin Evangelical Lutheran Synod"
"WELSRATE","Wisconsin Evangelical Lutheran Synod--Rates of adherence per 1,000 population","Wisconsin Evangelical Lutheran Synod"
"ZOROCNG","Zoroastrian--Total number of congregations","Zoroastrian"
"ZOROADH","Zoroastrian--Total number of adherents","Zoroastrian"
"ZORORATE","Zoroastrian--Rates of adherence per 1,000 population","Zoroastrian"
"FIPS","FIPS code","FIPS code"
"STCODE","State code","State code"
"STABBR","State abbreviation","State abbreviation"
"STNAME","State name","State name"
"CNTYCODE","County code","County code"
"CNTYNAME","County name","County name"
"POP2010","Population in 2010","Population in 2010"
